,Conflict_ID,Statecode_A,Statecode_B,Year,Start_Year,End_Year,Outcome,Fatality_Level,Hostility,Role_A,Role_B,Severity,Severity_A,Severity_B
0,2,USA,UKG,1902,1902,1903,0,0,3,1,3,49,49,0
1,2,USA,UKG,1903,1902,1903,6,0,3,1,3,49,49,0
2,2,UKG,USA,1902,1902,1903,0,0,3,3,1,49,0,49
3,2,UKG,USA,1903,1902,1903,6,0,3,3,1,49,0,49
4,3,AUH,YUG,1913,1913,1913,4,0,3,1,3,20,20,0
5,3,YUG,AUH,1913,1913,1913,3,0,3,3,1,20,0,20
6,4,UKG,ALB,1946,1946,1946,5,2,4,3,1,65,49,65
7,4,ALB,UKG,1946,1946,1946,5,2,4,1,3,65,65,49
8,7,UKG,EGY,1951,1951,1952,0,0,4,1,3,75,75,75
9,7,UKG,EGY,1952,1951,1952,1,2,4,1,3,75,75,75
10,7,EGY,UKG,1951,1951,1952,0,0,4,3,1,75,75,75
11,7,EGY,UKG,1952,1951,1952,2,2,4,3,1,75,75,75
12,8,UKG,IRN,1856,1856,1857,0,0,5,1,3,100,100,100
13,8,UKG,IRN,1857,1856,1857,1,6,5,1,3,100,100,100
14,8,IRN,UKG,1856,1856,1857,0,0,5,3,1,100,100,100
15,8,IRN,UKG,1857,1856,1857,2,6,5,3,1,100,100,100
16,9,UKG,POR,1889,1889,1890,0,0,3,1,3,49,49,0
17,9,UKG,POR,1890,1889,1890,6,0,3,1,3,49,49,0
18,9,POR,UKG,1889,1889,1890,0,0,3,3,1,49,0,49
19,9,POR,UKG,1890,1889,1890,6,0,3,3,1,49,0,49
20,11,GMY,AUS,1938,1938,1938,4,0,4,1,3,84,84,0
21,11,AUS,GMY,1938,1938,1938,3,0,4,3,1,84,0,84
22,12,UKG,GMY,1938,1938,1938,3,0,4,4,1,65,49,65
23,12,GMY,UKG,1938,1938,1938,4,0,4,1,4,65,65,49
24,12,BEL,GMY,1938,1938,1938,3,0,4,4,1,65,49,65
25,12,GMY,BEL,1938,1938,1938,4,0,4,1,4,65,65,49
26,12,FRN,GMY,1938,1938,1938,3,0,4,4,1,65,82,65
27,12,GMY,FRN,1938,1938,1938,4,0,4,1,4,65,65,82
28,12,GMY,CZE,1938,1938,1938,4,0,4,1,3,65,65,65
29,12,CZE,GMY,1938,1938,1938,3,0,4,3,1,65,65,65
30,12,GMY,RUS,1938,1938,1938,4,0,4,1,4,65,65,49
31,12,RUS,GMY,1938,1938,1938,3,0,4,4,1,65,49,65
32,13,USA,JPN,1863,1863,1863,1,0,2,2,3,30,30,0
33,13,JPN,USA,1863,1863,1863,2,0,2,3,2,30,0,30
34,13,UKG,JPN,1863,1863,1863,1,0,4,1,3,81,81,0
35,13,JPN,UKG,1863,1863,1863,2,0,4,3,1,81,0,81
36,13,FRN,JPN,1863,1863,1863,1,0,2,2,3,30,30,0
37,13,JPN,FRN,1863,1863,1863,2,0,2,3,2,30,0,30
38,14,UKG,TUR,1895,1895,1895,4,0,3,1,3,49,49,0
39,14,TUR,UKG,1895,1895,1895,3,0,3,3,1,49,0,49
40,15,USA,UKG,1839,1839,1839,6,0,4,1,3,81,49,81
41,15,UKG,USA,1839,1839,1839,6,0,4,3,1,81,81,49
